id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
165502,boardgame,QuestFour,0,2,2,5,5,5,8,0,0,0,0,0,0,0,0,0,0
165507,boardgame,Hackronyms,2014,2,6,30,30,30,0,1,8,0,2,0,0,0,0,1,1
165511,boardgameexpansion,Ascension: Explosive Swarm Promo,2014,0,0,0,0,0,0,6,6.16667,0,24,0,11,23,3,0,0
165514,boardgame,Colmar 1945,2009,2,3,90,90,90,14,0,0,0,7,0,0,0,0,1,5
165515,boardgameexpansion,Dungeons & Dragons: Attack Wing  Red Dracolich Expansion Pack,2015,2,99,30,30,30,14,11,8.53636,0,103,0,2,6,2,1,2
165516,boardgameexpansion,Dungeons & Dragons: Attack Wing  Drow Elf Ranger Drizzt Expansion Pack,2015,2,99,30,30,30,14,6,8.16667,0,90,0,1,9,5,1,2
165517,boardgameexpansion,Dungeons & Dragons: Attack Wing  Young Bronze Dragon Expansion Pack,2015,2,99,30,30,30,14,6,7.58333,0,84,1,3,8,1,1,2
165518,boardgameexpansion,Dungeons & Dragons: Attack Wing  Tiamat Premium Figure,2015,2,99,30,30,30,14,11,8.27273,0,74,4,2,15,6,1,2
165520,boardgame,Grubleren,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165521,boardgameexpansion,Rory's Story Cubes: Medic,2014,1,10,20,20,20,6,20,7.575,0,113,1,10,38,5,0,0
165522,boardgameexpansion,Rory's Story Cubes: Intergalactic,2014,1,10,20,20,20,6,26,7.48077,0,125,1,13,47,7,0,0
165523,boardgameexpansion,Rory's Story Cubes: Score,2014,1,10,20,20,20,6,17,7.5,0,104,1,10,34,4,0,0
165524,boardgameexpansion,Tash-Kalar: Arena of Legends  Everfrost,2014,2,4,60,60,60,13,167,7.99629,5.98744,1099,19,32,120,54,9,2.8889
165525,boardgame,Gin Mummy,2014,2,4,10,10,10,8,0,0,0,1,0,0,0,0,0,0
165528,boardgame,Marbles,2014,1,2,5,5,5,10,0,0,0,1,0,0,0,0,0,0
165533,boardgame,Math Noodlers,2007,2,8,0,0,0,0,1,4.5,0,1,0,0,0,0,0,0
165541,boardgame,Royal Hospital,0,1,5,60,60,60,8,0,0,0,0,0,0,2,0,0,0
165542,boardgame,Simply Adorable Slugfest,2014,2,2,45,45,45,13,3,8.66667,0,3,0,0,1,1,0,0
165549,boardgameexpansion,Warmachine: Vengeance,2014,2,4,60,60,60,12,3,6.33333,0,31,0,1,0,2,0,0
165551,boardgame,Moustache Smash,2014,3,6,20,20,20,7,23,5.82609,0,71,0,2,10,8,2,1
165552,boardgame,Shark Mania,2014,2,4,5,5,5,6,24,6.01667,0,63,0,2,6,6,1,1
165557,boardgame,Quizduell: Das Spiel,2014,2,6,30,30,30,12,4,4.625,0,7,1,0,0,1,0,0
165559,boardgame,Sau-Bande!,2014,2,4,15,15,15,4,19,5.31579,0,23,0,0,3,4,0,0
165564,boardgame,Nuclear Poker,2014,4,8,30,30,30,12,0,0,0,3,0,0,0,0,0,0
165565,boardgame,Bolt Action: D-Day Firefight,2014,2,2,120,120,120,8,3,8.66667,0,20,2,3,3,2,0,0
165570,boardgameexpansion,Battlegroup Barbarossa,2014,2,2,120,120,120,12,2,8.5,0,11,0,3,2,0,0,0
165572,boardgameexpansion,Bolt Action: Battleground Europe,2014,2,2,120,120,120,12,8,7,0,28,1,2,2,2,1,3
165573,boardgame,Two Rooms and a Bang!,2014,6,30,30,30,30,10,3,6.23333,0,1,0,1,4,2,2,1
165580,boardgame,Croassimo,2014,2,4,20,15,20,5,1,7,0,3,0,0,1,0,0,0
165582,boardgameexpansion,Mensch rgere Dich nicht: ...noch mehr rgern  Kartenerweiterung Rot,2014,2,6,30,30,30,8,1,2,0,6,0,0,0,1,0,0
165583,boardgameexpansion,Mensch rgere Dich nicht: ...noch mehr rgern  Kartenerweiterung Blau,2014,2,6,30,30,30,8,0,0,0,5,0,0,0,1,0,0
165584,boardgame,Crowns,2014,1,6,20,20,20,8,19,5.5,0,25,1,1,2,3,1,1
165585,boardgame,TrakkX,2014,2,4,40,40,40,8,9,6.22222,0,27,2,1,4,4,0,0
165587,boardgame,DOG Cards,2014,2,4,30,30,30,8,28,6.33214,0,62,0,3,15,9,2,1
165588,boardgame,Die Pferde sind los,2014,2,4,15,15,15,4,0,0,0,2,0,0,0,0,1,1
165589,boardgame,Custodial Trap: The Game,2014,2,2,0,0,0,0,1,6,0,1,0,0,0,0,0,0
165592,boardgameexpansion,"Run, Fight, or Die!: Jasper City Expansion",2014,2,6,40,40,40,8,13,7.03846,0,97,4,9,16,9,1,2
165594,boardgame,Wer sucht mit uns Insekten?,1951,2,6,25,25,25,6,0,0,0,0,0,0,0,0,0,0
165595,boardgame,JamSumo,2014,2,4,30,30,30,6,23,7.8913,0,26,0,11,40,12,1,2
165598,boardgame,Soldiers of Glory: An Epic Game of Swashbuckling Adventure during the 1600s.,2014,1,4,30,30,30,10,0,0,0,4,0,0,1,0,0,0
165599,boardgameexpansion,The Three Pillars: Allies & Adversaries expansion set,2014,2,4,30,30,30,12,0,0,0,3,0,0,0,0,0,0
165600,boardgame,What The Face?,2014,3,8,30,30,30,14,17,5.70588,0,71,4,1,3,9,1,1
165604,boardgame,Don't Be A Loser,2014,4,10,30,30,30,13,3,3.66667,0,3,0,2,1,2,0,0
165610,boardgame,Round Ten,2013,2,2,30,30,30,12,4,7.275,0,10,0,0,1,1,1,2
165627,boardgame,Rincala,2014,2,3,15,15,15,6,2,6.05,0,7,0,1,4,2,1,1
165628,boardgame,HINT,0,4,0,60,60,60,15,3,7.66667,0,14,0,0,0,2,0,0
165629,boardgame,Dogsitter,2014,2,5,0,0,0,6,2,5,0,6,0,0,0,1,1,1
165630,boardgame,Circus Express,2014,2,5,0,0,0,7,1,6,0,13,0,0,0,0,1,2
165631,boardgame,Worldcup,1979,2,2,2,2,2,6,1,3,0,1,0,0,0,1,0,0
165632,boardgame,More or Less,2012,2,0,0,0,0,15,3,3.83333,0,4,0,0,0,2,0,0
165633,boardgame,Slap .45,2015,3,7,20,20,20,0,19,6.84847,0,142,10,0,5,14,1,1
165634,boardgame,Right or Wrong,2014,2,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0
165635,boardgame,More or Less 2,2014,2,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0
165636,boardgame,Ordet Fanger!,0,2,0,0,0,0,0,3,7.16667,0,4,1,0,0,1,0,0
165640,boardgame,Crop Cycle,0,2,5,40,20,40,6,6,6.54167,0,3,1,0,4,4,3,1
165641,boardgame,Het Groot Vermakelijk Schapekoppenspel,1986,2,6,15,15,15,5,1,3,0,1,0,0,0,1,0,0
165644,boardgame,Ganz Wien,2014,2,4,0,0,0,0,1,5,0,3,0,0,0,1,0,0
165651,boardgame,Merry Yard,2014,3,8,0,0,0,6,10,5.68,0,13,1,0,1,0,0,0
165652,boardgame,De Sang & de Tourbe,2014,2,2,180,180,180,12,9,6.66667,0,52,1,2,3,2,1,2
165653,boardgame,Vermeer Spel,1997,2,4,60,60,60,8,1,5.5,0,1,0,0,0,0,0,0
165654,boardgame,Cosmic Rally,2014,2,6,30,30,30,10,0,0,0,3,0,0,0,0,0,0
165659,boardgame,Bonntur,1980,2,6,0,0,0,5,1,1,0,0,0,0,0,1,0,0
165660,boardgameexpansion,"Boom Bokken: ""Perfect"" and ""3 Hit Combo"" promo cards",2014,4,9,20,20,20,8,0,0,0,20,8,0,0,1,0,0
165679,boardgame,Black Hands of Hathoway,2014,2,4,15,15,15,8,0,0,0,1,0,0,0,0,0,0
165683,boardgameexpansion,Munchkin Legenden 2: Fauntastische Spiele,2014,3,6,90,90,90,10,1,6,0,16,0,0,1,0,0,0
165684,boardgameexpansion,Munchkin Turbobooster 1,2014,3,6,60,60,60,12,0,0,0,10,0,1,4,2,0,0
165685,boardgameexpansion,Munchkin Turbobooster 2,2014,3,6,60,60,60,12,0,0,0,9,0,1,4,3,0,0
165687,boardgameexpansion,Super Tooth: Kickstarter Exclusive Cards,2014,2,4,15,15,15,5,0,0,0,18,1,0,0,0,0,0
165689,boardgameexpansion,Super Tooth: Kickstarter Backer Inspired Cards,2014,2,4,15,15,15,5,0,0,0,14,0,0,0,0,0,0
165692,boardgameexpansion,Super Tooth: Titanic Tree Eaters Expansion,2014,2,4,15,15,15,5,0,0,0,17,1,0,0,0,0,0
165693,boardgameexpansion,Super Tooth: Sunny Days Expansion,2014,2,4,15,15,15,5,0,0,0,19,1,0,0,0,1,1
165694,boardgame,The Cones of Dunshire,2015,2,12,0,0,0,0,3,6.33333,0,1,0,7,22,3,2,2
165695,boardgameexpansion,Super Tooth: End of Days Expansion,2014,2,4,15,15,15,5,0,0,0,18,1,0,0,0,0,0
165696,boardgameexpansion,Super Tooth: Herbivorous Heroes Expansion,2014,2,4,15,15,15,5,0,0,0,18,1,0,0,0,0,0
165698,boardgameexpansion,Super Tooth: Time Travelers Expansion,2014,2,4,15,15,15,5,0,0,0,17,1,0,0,0,0,0
165699,boardgameexpansion,Super Tooth: Roaming Daspletosaurus Expansion,2014,2,4,15,15,15,5,0,0,0,18,1,0,0,0,0,0
